id	axis	axis_name	title	claim	evidence	testable
A4-H7	4	아키텍처	구조화 출력 절단 반전	구조화 출력은 단조 개선이나 max_tokens 절단이 나면 반전된다	추정	API필요
A5-H1	5	코딩에이전트	나레이션 cadence 지시	S3 지시가 사용자 대면 텍스트 총량을 줄이고 완수도는 유지된다	문서확인	로컬가능
A5-H2	5	코딩에이전트	검증 지시 삭제	검증 지시 제거가 도구 호출과 텍스트를 줄이고 통과율은 동일하다	문서확인	로컬가능
A5-H3	5	코딩에이전트	마지막 요약 규칙	S1+S3 요약 규칙이 최종 응답 문자 수를 줄이고 완수도는 유지된다	문서확인	로컬가능
A5-H4	5	코딩에이전트	범위 제한 지시	S5가 코드 줄 수와 미요청 산출물 개수를 줄이고 통과율은 유지된다	문서확인	로컬가능
A5-H5	5	코딩에이전트	주석 밀도 규칙	S9가 생성 코드의 주석 밀도를 낮추고 테스트 통과율은 유지된다	문서확인	로컬가능
A5-H6	5	코딩에이전트	서브에이전트 캡	S6가 소규모 과제의 서브에이전트 호출을 0으로 만들고 총출력이 준다	문서확인	로컬가능
A5-H7	5	코딩에이전트	억제 지시 하위가산성	억제 지시 묶음의 절감은 개별 효과의 산술합보다 작다	추정	로컬가능
A6-H1	6	정보이론	엔트로피 바닥	절감 지시를 누적해도 길이는 과제 하한으로 점근하고 한계 절감이 체감한다	이론유도	로컬가능
A6-H2	6	정보이론	상호정보량 제거	입력에서 복원 가능한 재진술을 금지하면 품질 손실 없이 보고문이 준다	이론유도	로컬가능
A6-H3	6	정보이론	율-왜곡 문턱	압축 강도 대비 품질 손실은 연속이 아니라 특정 지점의 문턱으로 나타난다	측정필요	로컬가능
A6-H4	6	정보이론	대칭성 접기	행 방향 반복을 규칙과 예외로 접으면 TSV보다 짧고 반복률이 낮으면 역전된다	이론유도	로컬가능
A6-H5	6	정보이론	생성 프로그램 출력	규칙적 데이터는 나열보다 생성 코드가 짧고 불규칙해지면 역전된다	이론유도	로컬가능
A6-H6	6	정보이론	코드북 상각	프롬프트 코드북은 출력을 줄이고 총비용 손익분기는 재사용 횟수로 결정된다	이론유도	로컬가능
A6-H7	6	정보이론	proxy 편향 방향	문자 proxy는 반복 문자에 걸린 절감을 토큰 절감보다 과대추정한다	이론유도	API필요
A6-H8	6	정보이론	재요청 왕복 비용	과압축은 소비자의 재요청을 유발해 왕복 총출력을 늘린다	이론유도	로컬가능
